ID,Title,Body,Course_Number,Credits,Prefix,Department,,,,,,,,,,
941,9th Street Singers,"A select, small (12-18 voices) choral ensemble dedicated to performing classical, jazz, Broadway, and pop repertoire. Choreography and solo singing may be included in this versatile organization. Enrollment by audition. Restricted to students with freshman and sophomore standing. May be repeated for credit. AE",139,1,MUSC,MUSC,,,,,,,,,,
942,Theory I,"Basic materials and structure of music including studies in notation, tonality, scales, intervals, transposition, chords and inversions, cadences, and melodic organization; application of above studied in analysis and creation of two- to four-part compositions. Sight singing and ear training correlated. Based on testing, some students may be required to take MUSC 001 concurrently.",151,3,MUSC,MUSC,,,,,,,,,,
943,Theory II,"A course in basic musicianship for the music  major/minor, MUSC 152 is a continuation of the  studies in Theory I. This course will include  analysis, written assignments from a workbook,  classroom drill and discussion, group and  individual sight singing, and ear training.  Offered every spring semester. Prerequisite: 151  and passing 001 with a grade of ""C"" or better.",152,3,MUSC,MUSC,,,,,,,,,,
944,Music Theory I for MUTH Majors,"This course covers the basic materials in music including musical terms and symbols and how to read and write pitches, rhythms and scales. Emphasis is placed on developing aural and sight-singing skills. Class activities will include extensive work at the piano. Restricted to music theatre majors.",153,3,MUSC,MUSC,,,,,,,,,,
945,Music Theory II for MUTH majors,"This course continues the introduction to basic musicianship and structural elements begun in Theory I. Emphasis is placed on developing aural and sight-singing skills. Class activities will include extensive work at the piano. Students will work on visual and aural analysis of music from the Broadway, Folk, Pop and Rock repertoire. Prerequisite: 153. Restricted to music theatre majors.",154,3,MUSC,MUSC,,,,,,,,,,
946,Women in Music,"Women in Music is an overview of women as performers, composers, or sources of inspiration for works of music in the Western tradition, from earliest to contemporary artists. Influences in the lives of thee musicians and their legacy will be examined. The class will include listening, research, performances, and discussion. AE",200,2,MUSC,MUSC,,,,,,,,,,
947,Piano Proficiency II,"Keyboard skill development is foundational to the study of music. The Piano Proficiency II course is the second of three levels designed to provide developing musicians with basic keyboard competency. Specifically, students will develop piano technique and music theory through keyboard patterns including: three vocalises, major and minor scales (two octaves, hands together, white keys only), and chord progressions (inversions + ii chord), still with left hand roots. Sight-reading and repertoire will be at a level higher than that of Piano Proficiency I. Simple play-by-ear folk melodies (transposed to any key) will add a left hand blocked-chord accompaniment. Students will be required to prepare a ""middle school"" level accompaniment and demonstrate the ability to read a three-part open score (SAB). The Piano Proficiency II Exam is held during finals week and determines whether or not students can pass to the next level. Target completion date of this exam is fall semester of sophomore year. Graded CR/NC. ",205,1,MUSC,MUSC,,,,,,,,,,
948,Piano Proficiency III,"Keyboard skill development is foundational to the study of music. The Piano Proficiency III course is the final package of three designed to provide developing musicians with basic keyboard competency. Specifically, students will develop piano technique and music theory through keyboard patterns including: three vocalises, major and minor scales (hands together, 2 octaves, black keys only), and chord progressions (inversions + ii chord), still with left hand roots. Sight-reading and repertoire will be at a higher level than that of Piano Proficiency II. Simple play-by-ear folk melodies (transposed to any key) adding a more elaborate, improvised accompaniment. Students will be required to prepare a ""high school"" level accompaniment and demonstrate the ability to read a four-part open score (SATB). The Piano Proficiency III Exam is held during finals week and determines whether or not students can pass to the next level. Target completion date of this exam is spring semester of sophomore year. Graded CR/NC. ",206,1,MUSC,MUSC,,,,,,,,,,
949,Diction I,"A study of the symbols of the International Phonetic Alphabet as used in Italian and German languages. Emphasis is placed on the sounds of these symbols and their application to appropriate vocal literature. Class experiences include readings, discussion, speaking, singing, group activities, and listening. Offered every fall semester.",237,2,MUSC,MUSC,,,,,,,,,,
950,Diction II,"Continuation of the study of the symbols of the International Phonetic Alphabet as used in French and English languages. Emphasis is placed on the sounds of these symbols and their application to appropriate vocal literature. Class experiences include readings, discussion, speaking, singing, group activities, and listening. Offered every spring semester. Prerequisite: 237.",238,2,MUSC,MUSC,,,,,,,,,,
951,Theory III,"Designed to introduce students to theoretical elements as they enfold from antiquity through the end of the Common Practice Period (mid-19th century); students will transcribe Gregorian chant, calculate intervals and identify modes in 16th century polyphony, understand contrapuntal principles in both the 16th and 18th centuries, and develop their understanding of chromaticism through further study of secondary chords and modulation. In addition to standard course work, students will compose music - working on an original piece that connects them to a project with global learning potential. Sight singing, aural and rhythmic dictation, as well as recognition and notation of intervals, chords, and scales comprise the AURAL SKILLS component of the course. Prerequisites: 152.",251,3,MUSC,MUSC,,,,,,,,,,
952,Theory IV,"Theory IV is a continuation of the historical-analytical work of MUSC 251, focusing on study of chromatic harmony, as well as an introduction to form and analysis and 20th century musical structures. Specifically, application of chromatically altered chords (Neapolitan, borrowed, and augmented sixth chords) is followed by a study of binary, ternary, rondo, variation and sonata forms; student will be introduced to atonal and serial constructs of the 20th century. Required course work include analysis, aural skills training, sight singing, composition, and use of FINALE software. Prerequisite: 251.",252,3,MUSC,MUSC,,,,,,,,,,
953,Conducting,"Development of basic conducting skills with emphasis on beat patterns, baton technique, conducting gestures, score preparation and musical styles.",265,2,MUSC,MUSC,,,,,,,,,,
954,Introduction to the Alexander Technique,"A class which explores application of the principles employed by F.M. Alexander in finding easier use of self in activity. While performing artists have found it useful, this technique is also valuable in everyday activities. Activities that require motion are particularly suited to this work. May be repeated for credits. Graded CR/NC.",284,2,MUSC,MUSC,,,,,,,,,,
955,Special Topics,"Courses on topics of interest to music students offered on the basis of need, interest, or timeliness. Prerequisite as determined by instructor. Restricted to students with freshman or sophomore standing. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",286,3,MUSC,MUSC,,,,,,,,,,
956,Experiential Learning: Internship,"Internship experience relative to the elective area of emphasis for the pedagogy majors and church music minors. Credit for experience must be sought prior to occurrence, and a learning contract must be submitted before the end of the first week of the semester. Restricted to students with junior standing or higher. Permission of music department required. Graded CR/NC.",287,10,MUSC,MUSC,,,,,,,,,,
957,Independent Study,Independent reading and/or research under the guidance of a music faculty member. Refer to the academic policy section for independent study policy. Independent study contract is required. May be repeated for credit.,288,3,MUSC,MUSC,,,,,,,,,,
958,Music for the Classroom Teacher,"This class provides the opportunity for future classroom teachers to develop basic understanding and skills in musical elements. Methods of using music in interdisciplinary settings and incorporating multicultural resources will be important components of the class. Teachers will learn how to help children communicate through personal expression, creative exploration, and action. Prerequisites: EDUC 150, 215.",300,2,MUSC,MUSC,,,,,,,,,,
959,Music in the Middle/Junior High School,"A class designed for the music education major. The study of teaching and directing techniques for the middle/junior high school learner, with emphasis on the physical, psychological, and emotional development of adolescents. Course will include: 1) general music; 2) choral music; 3) curriculum design; 4) the changing voice; 5) selecting and evaluating age-appropriate repertoire; 6) playing fretted instruments, folk instruments, rhythmic instruments, melody instruments, and recorders in order to employ them as teaching tools. All students in the class will be assigned a small ensemble to sing in or lead. Prerequisites: 365, 366, EDUC 150, 215; admission to the teacher education program (music education majors).",303,3,MUSC,MUSC,,,,,,,,,,
960,Piano and Harpsichord Accompanying,"Study and development of the skills associated with piano and harpsichord accompanying and collaboration. Students are required to prepare and perform representative literature for piano and other instruments or voices. Activities include directed readings, score examination and analysis, textual analysis, listening, coaching, and performing. Students will also survey the history and construction of the harpsichord, apply aspects of Baroque interpretation and technique, and apply knowledge of figured bass as part of the accompanying component in the course. Prerequisite: 152, 205, MUPI-171.",308,2,MUSC,MUSC,,,,,,,,,,
961,Music History I,"Music History I is a study of western music history from the Medieval through Baroque periods. This survey of prominent composers, styles, genres, and forms will be contextualized by the influence of social, religious, and political trends. Directed reading, listening, score examination, analysis, and performance are offered in diverse and engaging modes of learning. Projects and assignments are designed to fulfill the General Education-Oral Communication requirement for music majors and/or minors. Prerequisite: 152. OC",327,3,MUSC,MUSC,,,,,,,,,,
962,Music History II,"A survey of the principal composers, genres, and forms associated with music of the Classic, Romantic, and Contemporary periods. Consideration of representative works from those periods through directed reading, score examination, analysis, listening, and performance. Exposure to available music research and reference materials is explored in both printed and electronic formats. Projects and assignments are designed to fulfill the General Education-Written Communication II requirement for music majors and/or minors. Prerequisite: 327, ENGL 104 or 105 or 195. WCII",328,3,MUSC,MUSC,,,,,,,,,,
963,Survey of Song Literature,"A survey of vocal music from approximately 1600 to the present in Europe and the U.S. Emphasis will be placed on broadening the repertoire of the performer and teacher through a study of major song composers of the German, French, Italian, and English cultures. Class activities will focus on stylistic characteristics of this literature through a combination of lecture and directed listening. Offered every other year. Prerequisites: 152, 237, 238, 327.",332,2,MUSC,MUSC,,,,,,,,,,
964,Keyboard Literature,"A survey of advanced literature for stringed keyboard instuments from the end of the 16th century to the present as it relates to both teaching and performing. consideration of the principal historical eras, composers and genres of keyboard music. Includes a critical assessment of important stylistic and formal features of representative works through directed reading, score examination, listening, and performance. Offered as needed. Prerequisite: 152.",333,3,MUSC,MUSC,,,,,,,,,,
965,Women's Chorale,"A women's chorus for all students and faculty that sings a variety of choral literature, including Broadway, jazz, folk, pop, and classical. Restricted to students with junior standing or higher. May be repeated for credit. AE",335,1,MUSC,MUSC,,,,,,,,,,
966,Platinum Edition,"A select show choir ensemble drawn from all major areas in the college community. Emphasis on performing literature from the pop and Broadway repertoire. Combines voice, movement, and stage presence into one package. Opportunity to work with professional choreographers and to explore a wide variety of song styles and movement. Restricted to students with junior standing or higher. Enrollment by audition only. May be repeated for credit. AE",336,1,MUSC,MUSC,,,,,,,,,,
967,Concert Choir,A select 60-voice choral ensemble drawn from all major areas in the university. Literature from all musical eras is performed in two concerts each year in addition to a regional or national tour and every fourth year a tour of Europe. Chamber ensemble works such as madrigals and motets and opera and oratorio works with orchestra are studied over a four-year cycle. Emphasis on excellence in musicianship and performance. Enrollment by audition. Restricted to students with junior standing or higher. May be repeated for credit. AE,337,1,MUSC,MUSC,,,,,,,,,,
968,9th Street Singers,"A select, small (12-18 voices) choral ensemble dedicated to performing classical, jazz, Broadway, and pop repertoire. Choreography and solo singing may be included in this versatile organization. Enrollment by audition. Restricted to students with junior standing or higher. May be repeated for credit. AE",339,1,MUSC,MUSC,,,,,,,,,,
969,Music in the Elementary School,"A class designed for the music education major with emphasis on the development of children146s listening, performance, literacy, and creative-expressive skills. Students will learn how to: 1) design age-appropriate lesson plans; 2) structure the classroom environment; 3) apply classic techniques of Orff, Kodaly, Dalcroze and other emerging pedagogies; 4) measure and grade musical progress; 5) teach through the multiple intelligences; 6) teach multicultural music; and 7) provide opportunity for aesthetic experiences. This course will help students discover the joy and intellectual challenges that come from sharing music with children. Prerequisites: 365, 366, EDUC 150 (music education majors), 215; acceptance into teacher education (music education majors). Offered every third semester.",340,3,MUSC,MUSC,,,,,,,,,,
970,Choral Methods 9-12,"A class designed for the music education major with emphasis on the development of children's listening, performance, literacy, and creative-expressive skills. Students will learn how to: 1) design age appropriate lesson plans; 2) structure the classroom environment; 3) apply classic techniques of Orff, Kodaly, Dalcroze and other emerging pedagogies; 4) measure and grade musical progress; 5) teach through the multiple intelligences; 6) teach multicultural music; and 7) provide opportunity for aesthetic experiences. This course will help students discover the joy and intellectual challenges that come from sharing music with children. Prerequisites: 365, 366; EDUC 150, 215; admission to teacher education program (music education majors).",342,3,MUSC,MUSC,,,,,,,,,,
971,Form and Analysis,"A study of the structural elements in music and their organization into small and large forms, this course also includes and introduction to Schenkerian analysis. Students will learn to analyze and identify common musical forms found in vocal and instrumental works from various style periods. Class experiences include reading, discussion, analysis, listening, and performing. Prerequisites: 252.",353,3,MUSC,MUSC,,,,,,,,,,
972,Congregational Repertre Liturgical Year,"Criteria and sources used in selecting music for the assembly. Historical survey of hymnody. Examination of hymnals and other materials available. Specific repertoire recommendations for individual seasons, occasions, and rites of the Church. Practical application of skills needed to effectively lead an assembly. ",354,2,MUSC,MUSC,,,,,,,,,,
973,Choral Repertoire Liturgical Year,"Historical survey of sacred choral music. Exploration of quality choral music which is appropriate in a liturgical context. Specific repertoire suggestions for the liturgical year covering a broad spectrum of styles, periods, and difficulty. ",355,2,MUSC,MUSC,,,,,,,,,,
974,Organ Repertoire Liturgical Year,"Survey of quality organ compositions based on liturgical cantus firmi or having other explicitly liturgical connections. Specific repertoire suggestions for the liturgical year covering a broad spectrum of styles, periods, and difficulty. ",356,2,MUSC,MUSC,,,,,,,,,,
975,Opera Production,"This course is for students who audition for and are cast in a major or minor role in an opera production. This performance course encompasses learning an operatic score and staging the work. Chamber operas have minimal costuming and set, and they are performed in the Recital Hall. Full length operas are performed with full costuming and set with orchestra in the Main Theatre. Opera productions rehearse three hours per night and five nights per week for a period of seven weeks. May be repeated.",382,0,MUSC,MUSC,,,,,,,,,,
976,Half Recital,A recital of at least 30 minutes with music of  representative styles and periods.,390,1,MUSC,MUSC,,,,,,,,,,
977,Vocal Pedagogy,"A course presenting the study and critical analysis of many pedagogical approaches of the teaching of singing. For the advanced vocal/choral student, it is a research and discussion course with a major research project. The course includes observation, practice teaching, and studio business practices of private teaching. Students use the vocal lab for research using VoceVista software and other technology. The teaching of private voice lessons is a practicum experience for the student teacher/singer. .",420,3,MUSC,MUSC,,,,,,,,,,
978,Student Teaching Elementary,Directed classroom observation and teaching in the elementary school; required for certification in Pre-K-12 and Choral 6-12. Prerequisite: 206; admission to the teacher education program; admission to student teaching; passing Praxis II score..,425,4.5,MUSC,MUSC,,,,,,,,,,
979,Student Teaching Secondary,Directed observation and teaching in middle school and high school; required for certification in Pre-K-12 and Choral Music 6-12. Prerequisite: 206; admission to the teacher education program; admission to student teaching; passing Praxis II score.,429,4.5,MUSC,MUSC,,,,,,,,,,
980,Piano Pedagogy,"A study of the art and science of teaching piano at the beginning and intermediate levels. Topics include teaching philosophy, learning styles and theories, individual and group instruction, teaching techniques, methods and materials, motivation and practice, technology, and the business aspects of creating and maintaining a private music studio. Class experiences include readings, discussion, presentations, observations, and practice teaching. Offered as needed.",433,3,MUSC,MUSC,,,,,,,,,,
981,Arranging,"The course is designed as a practical introduction to choral arranging with exposure to pertinent elements of orchestration/instrumentation. Students will explore the art of choral arranging through critical evaluation, study of copyright, research of suitable source material, as well as examination of voicing, range, transposition, balance, notation, and texture. The course features guest speakers (brass and woodwind specialists) and culminates with a forum performance of student arrangements. Students will use FINALE or SIBELIUS software for all arranging projects. Prerequisites: 205, 252.",453,2,MUSC,MUSC,,,,,,,,,,
982,Opera Literature,"Survey of the principle styles, composers, genres, and forms associated with opera from 1600 through the 21st century. Consideration of representative works from those periods through directed reading, score examination, analysis, listening, and performance. Offered as needed. Prerequisites: 152, 237, 238, 327.",465,2,MUSC,MUSC,,,,,,,,,,
983,Sacred Music Practicum,"Practicum experience of the sacred music minor. The practicum includes liturgical planning regular and special worship services, creation of service aides, scheduling and implementation of rehearsals, cantoring and/or accompanying services and rehearsals and participation in choral activities of worship. Permission of department chair required. Prerequisites: 354, 355, 356.",481,2,MUSC,MUSC,,,,,,,,,,
984,Special Topics,"Courses on topics of interest to music students offered on the basis of need, interest, or timeliness. Prerequisite as determined by instructor. Restricted to students with junior standing or higher. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",486,3,MUSC,MUSC,,,,,,,,,,
985,Experiential Learning: Internship,Advanced level internship experience. Permission of department chair required. Restricted to students with junior or senior standing. Graded CR/NC. ,487,10,MUSC,MUSC,,,,,,,,,,
986,Independent Study,Independent reading and/or research under the guidance of a music faculty member. Refer to the academic policy section for independent study policy. Independent study contract is required. May be repeated for credit.,488,3,MUSC,MUSC,,,,,,,,,,
987,Full Recital,A recital of at least one hour with music of  representative styles and periods is required of  students earning the Bachelor of Music Degree in  performance.,490,2,MUSC,MUSC,,,,,,,,,,
988,Music Theatre Laboratory,"This course focuses on performance requirements  and techniques for the singing, dancing actor,  including the process of preparation to  performance and the stylistic differences between  genres. The course utilizes material from  existing music theatre literature in a variety of  musical styles. Solo and ensemble participation  is expected of students. Music theatre majors.  May be repeated for credit.",170,1,MUTH,THTR,,,,,,,,,,
989,Private Voice Lessons,Private voice instruction. Permission of instructor required. Restricted to music theatre and theatre majors. Restricted to students with freshman or sophomore standing. May be repeated for credit.,171,1,MUTH,THTR,,,,,,,,,,
990,Special Topics,"Courses on topics of interest to students on the   basis of need, interest, or timeliness.  Prerequisite as determined by instructor. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",286,3,MUTH,THTR,,,,,,,,,,
991,Experiential Learning: Internship,"Non-classroom experiences in music theatre. Placements are generally off-campus, and may be full- or part-time, and with or without pay. Credit for experiences must be sought prior to occurance, and learning contracts must be submitted before the end of the first week of the semester. A maximum of 15 credit of 287/487 can be used to meet graduation requirements. See the experiential learning: internship section of this catalog for details. Restricted to students with freshman or sophomore standing. May be repeated for credit. Graded CR/NC.",287,12,MUTH,THTR,,,,,,,,,,
992,Independent Study,Independent reading and/or research under the  guidance of a music theatre faculty member. Refer  to Academic Policy section for independent study  policy. Independent study contract is required.  May be repeated for credit.,288,3,MUTH,THTR,,,,,,,,,,
993,Acting for Singers,"This course explores the principles and practise of acting through song and verse. Its purpose is to explore a variety of theoretical and practical approaches that provide an integration of acting, vocal and stylistic techniques, so each supports and strengthens the other. Restricted to music and music theatre majors.",300,3,MUTH,THTR,,,,,,,,,,
994,Music Theatre Scene Study I,"This course surveys musical theatre scenes from 1910-1970. With particular focus on character development for the musical theatre performer and building upon the acting, voice, and dance foundations presented in THTR 107, 121, 147, 155 and 207, dance courses, and MUTH 170 and 171. Students will work to address the acting and stylistic requirements of the period genres and the requirements of the ear-specific musical scores. Prerequisites: THTR 307, two credits from 170 (music theatre majors) or THTR 207 (theatre majors). Restricted to music theatre and theatre majors. Restricted to students with junior standing or higher.",326,3,MUTH,THTR,,,,,,,,,,
995,Music Theatre Scene Study II,"This course surveys musical theatre scenes from 1970- present. With particular focus on character development for the musical theatre performer and building upon the acting, voice, and dance foundations presented in THTR 107, 121, 147, 155 and 207, dance courses, and MUTH 170 and 171. Students will work to address the acting and stylistic requirements of the period genres and the requirements of the ear-specific musical scores. Prerequisites: 326, two credits 170 (music theatre majors); or THTR 207 (theatre majors). Restricted to music theatre and theatre majors and music majors by consent of instructor. Restricted to students with junior standing or higher.",336,3,MUTH,THTR,,,,,,,,,,
996,Music Theatre History and Literature,"A survey of music theatre history and literature from 1866 to the present, this course provides an understanding of the continuing development of music theatre into the present day. Attention will be given to the writers and composers who greatly influenced and/or continue to influence the development of the form. Restricted to students with junior standing or higher. Prerequisite: ENGL 104 or 105.",339,3,MUTH,THTR,,,,,,,,,,
997,Music Theatre History and Literature,"A survey of music theatre history and literature from 1866 to the present, this course provides an understanding of the continuing development of music theatre into the present day. Attention will be given to the writers and composers who greatly influenced and/or continue to influence the development of the form. Restricted to students with junior standing or higher. Prerequisite: ENGL 104 or 105.",339,3,MUTH,THTR,,,,,,,,,,
998,Music Theatre Laboratory,"This course focuses on performance requirements  and techniques for the singing, dancing actor,  including the process of preparation to  performance and the stylistic differences between  genres. The course utilizes material from  existing music theatre literature in a variety of  musical styles. Solo and ensemble participation  is expected of students. Music theatre majors.  May be repeated for credit.",370,1,MUTH,THTR,,,,,,,,,,
999,Private Voice Lessons,Private voice instruction. Permission of instructor required. Restricted to music theatre and theatre majors. Restricted to students with junior or senior standing. May be repeated for credit.,371,1,MUTH,THTR,,,,,,,,,,
1000,Special Topics,"Courses on topics of interest to students on the   basis of need, interest, or timeliness.  Prerequisite as determined by instructor. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",486,3,MUTH,THTR,,,,,,,,,,
1001,Experiential Learning: Internship,"Non-classroom experiences in music theatre. Placements are generally off-campus, and may be full- or part-time, and with or without pay. Credit for experiences must be sought prior to occurance, and learning contracts must be submitted before the end of the first week of the semester. A maximum of 15 credit of 287/487 can be used to meet graduation requirements. See the experiential learning: internship section of this catalog for details. Restricted to students with junior or senior standing. May be repeated for credit. Graded CR/NC.",487,12,MUTH,THTR,,,,,,,,,,
1002,Independent Study,Independent reading and/or research under the  guidance of a music theatre faculty member. Refer  to Academic Policy section for independent study  policy. Independent study contract is required.  May be repeated for credit.,488,3,MUTH,THTR,,,,,,,,,,
1003,Senior Project,"This senior-level capstone course allows students to work on a faculty-approved 30 minute recital of musical scenes, songs, monologues, and dance. This course is required of all majors.",490,1,MUTH,THTR,,,,,,,,,,
1004,Applied Voice Lessons for Non-Music Majors,"Students will study healthy vocal technique and pedagogy utilizing a supported, balanced tone. Repertoire will consist of a combination of music literature including music theatre and art songs in English and other lyric languages of interest to the student (i.e. Spanish, Italian, Latin, French, German, etc.) Restricted to non-music majors. Restricted to students with freshman or sophomore standing. May be repeated for credit. AE",168,1,MUVO,MUSC,,,,,,,,,,
1005,Applied Voice Lessons for Music Majors And Minors,"The study of applied voice will include vocal techniques and pedagogy, balanced natural tone, correct pitches and rhythms, and accurate phrasing. Repertoire consisting of art songs and arias in representative style periods and languages, including but not limited to Italian, French, English, and German. Music theater literature may be included, at the discretion of the instructor. Restricted to students with freshman and sophomore standing. May be repeated for credit. AE",171,1,MUVO,MUSC,,,,,,,,,,
1006,Applied Vocal Coaching,"The course is comprised each week of a half-period vocal coaching session with a faculty coach-accompanist and a half-period of collaborative work in the students applied voice lesson. Vocal coaching will address the style, musical markings, tempo, language, phrasing, and interpretation of the applied lesson repertoire. Students registered for two credits of MUVO 171 must register concurrently for one credit of MUVO 172. Students registered for one credit of MUVO 171 must register concurrently for .5 credit of MUVO 172. Restricted to music majors. Restricted to students with freshman and sophomore standing. May be repeated for credit.",172,1,MUVO,MUSC,,,,,,,,,,
1007,Applied Voice Lessons for Non-Music Majors,"Students will study healthy vocal technique and pedagogy utilizing a supported, balanced tone. Repertoire will consist of a combination of music literature including music theatre and art songs in English and other lyric languages of interest to the student (i.e. Spanish, Italian, Latin, French, German, etc.) Restricted to non-music majors. Restricted to students with junior standing or higher. May be repeated for credit. AE",368,1,MUVO,MUSC,,,,,,,,,,
1008,Applied Voice Lessons for Music Majors And Minors,The study of applied voice will continue with advanced technique and pedagogy with instruction tailored to the needs of the student and the preparation of a public performance of a solo recital. Restricted to students with freshman and sophomore standing. May be repeated for credit. AE,371,1,MUVO,MUSC,,,,,,,,,,
1009,Applied Vocal Coaching,"The course is comprised each week of a half-period vocal coaching session with a faculty coach-accompanist and a half-period of collaborative work in the students applied voice lesson. Vocal coaching will address the style, musical markings, tempo, language, phrasing, and interpretation of the applied lesson repertoire. Students registered for two credits of MUVO 171 must register concurrently for one credit of MUVO 172. Students registered for one credit of MUVO 171 must register concurrently for .5 credit of MUVO 172. Restricted to music majors. Restricted to students with freshman and sophomore standing. May be repeated for credit.",372,1,MUVO,MUSC,,,,,,,,,,
1010,Voice Half Recital,"The half-recital consists of a public performance of 20-25 minutes of memorized music from representative styles and periods. Repertoire shall be art songs and arias in three representative style periods and languages, including but not limited to Italian, French, English, and German.",390,1,MUVO,MUSC,,,,,,,,,,
1011,Vocal Pedagogy Practicum,"Practicum experience of the vocal pedagogy emphasis in the vocal performance program. The practicum includes observation, teaching, recording, and journaling of applied lessons. A pedagogy contract must be submitted to the supervising faculty, department chair and the college dean before the end of the first week of the semester. Restricted to music majors accepted into the performance program by passing a hearing. Restricted to students with junior standing or higher. Permission of department chair required. Prerequisite MUSC 206, 420.",481,2,MUVO,MUSC,,,,,,,,,,
1012,Voice Full Recital,"A full recital consists of a public performance of 40-45 minutes in length of memorized music from representative styles and periods. Repertoire shall be art songs and arias in three representative style periods and languages, including but not limited to Italian, French, English, and German. Prerequisite: 390.",490,2,MUVO,MUSC,,,,,,,,,,
1013,Gerontology Nursing: Concepts and Clinical Applications,"This course provides knowledge of the older adult and relates nursing skills. It introduces age related changes, their impact on the functional health patterns and issues concerning the older adult population. Clinical experience takes place in a variety of settings and in the community with older adults. Prerequisites: 230, 290, 342, BIOL 296, complete immunization and health record on file in the university health services office, C.N.A. certification; CPR certification, caregiver background check, admission to professional nursing sequence. ",221,3,NURS,NURS,,,,,,,,,,
1014,Health Assessment Across the Life Cycle,"Designed to teach students the skills required to collect health history data and to perform a systematic physical examination. Developmental and trans-cultural considerations are addressed. Emphasis is placed on integrating the components of the nursing health assessment. Must be taken concurrently with 290, 342. Prerequisites: BIOL 114, CHEM 106 or 121, PSYC 171, SOCL 125, admission to professional nursing sequence.",230,3,NURS,NURS,,,,,,,,,,
1015,Professional Communication in Nursing,"This course focuses on basic communication skills essential for working with clients of various ages and with health care professionals. Content includes interpersonal communications and group dynamics. Students will practice communication skills with individuals and within groups. Prerequisites: 230, 290, 342, BIOL 296, admission to professional nursing sequence. OC",240,3,NURS,NURS,,,,,,,,,,
1016,Special Topics,"Courses on topics of interest to nursing students offered on the basis of need, interest, or timeliness. Prerequisites as determined by the instructor. Restricted to students with freshman or sophomore standing. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",286,3,NURS,NURS,,,,,,,,,,
1017,Independent Study,Independent reading and/or research  under the guidance of a faculty member. Refer to the academic policy section for independent study policy. Independent study contract is required. Prerequisites as determined by instructor. May be repeated for credit.,288,3,NURS,NURS,,,,,,,,,,
1018,Professional Nursing Concepts,"The course is designed to introduce beginning nursing students to the philosophy and conceptual framework of the School of Nursing and core professional nursing concepts. Students are introduced to historical foundations of nursing, selected nursing theories, ethical decision making, evidence based practice and the nursing process. Prerequisites: BIOL 114, CHEM 106 or 121, PSYC 171; SOCL 125, admission to professional nursing sequence.",290,3,NURS,NURS,,,,,,,,,,
1019,Parish Nurse Ministry,"Focuses on the seven roles of the nurse: health educator, integrator of faith and health, personal health counselor, referral agent, health advocate, volunteer coordinator, and support program developer. This course is endorsed by the International Parish Nurse Resource Center and prepares the RN to practice as a parish nurse.",300,3,NURS,NURS,,,,,,,,,,
1020,Death and Dying,"Students examine the behaviors, attitudes and practices related to dying, death, and bereavement. Focus is twofold: personal in surveying one's own attitudes about death and dying and professional in identifying the needs of others during the grieving process. Restricted to students with junior standing or higher.",301,3,NURS,NURS,,,,,,,,,,
1021,Health Care Issues of Older Adults,"This course will synthesize research, issues and ethical considerations in caring for the older adults with complex multisystem care needs related to the health care continuum. Case studies and group discussion will be utilized to explore in-depth the challenges in the interprofessional care of frail elders including sustainability of the continuum of services and resource allocation. The emphasis will be on the unique complications of co-morbidities, polypharmacy, and the psychological, social and environmental risks that challenge care delivery and influence interventions across care settings. A third credit may be earned through an additional paper. Restricted to students with junior standing or higher.",302,3,NURS,NURS,,,,,,,,,,
1022,Spirituality of Health and Healing,"This course will promote an understanding of the influence that spirituality, beliefs, and values have on human health and healing. Utilizing theories from nursing and revisiting theories from the physical and social sciences, the student will be guided to explore a personal definition of spirituality and its application in professional practice. This course will facilitate a personal holistic approach in the care of self, patients, families, and communities. Students will have an opportunity to meet and interact with persons from various spiritual traditions. The third credit is earned through an independent project. Prerequisite: three credit hours RLST. ",303,3,NURS,NURS,,,,,,,,,,
1023,Applied Statistics for Healthcare Professional,"This course focuses on scientific research as it applies to disciplines in healthcare. Students will learn about the statistical techniques associated with collecting and analyzing data, to make informed decisions based on current evidence. Students will learn to interpret tables and charts, descriptive statistics, basic and discrete probability distributions, and hypothesis testing. Students will also learn statistical techniques and the most appropriate statistical methods used in research.",315,3,NURS,NURS,,,,,,,,,,
1024,Family Care Nursing: Concepts,"A family centered approach to health promotion and health alterations in childbearing women, children, and families. Emphasis is placed on growth and development, safety, and education utilizing the nursing process. Prerequisites: 221, 230, 240, 290, 342, 349; 324 and PSYC-220 or concurrent.",323,3,NURS,NURS,,,,,,,,,,
1025,Family Care Nursing: Clinical Application,"Application of the nursing process in the care of childbearing women, children and families. Concepts from NURS-323 will be applied in a variety of on and off campus clinical environments. Prerequisites: 221, 230, 240, 290, 342, 349; 323 and PSYC-220 or concurrent.",324,3,NURS,NURS,,,,,,,,,,
1026,Expanding Roles and Exploring Values,"Students' professional experiences are integrated to expand the knowledge and skills, including an understanding of evidence based practice to advance the profession. Concepts of computer literacy are included to find and analyze appropriate resources. Students will also learn about the development of a professional portfolio. Prerequisite: ENGL 103. IL",340,3,NURS,NURS,,,,,,,,,,
